Time,Level,Message
"2022-02-14 17:26:25,265",CRITICAL,primary server is down
"2022-02-14 17:26:25,265",CRITICAL,connection to secondary server successful
"2022-02-14 17:26:27,658",CRITICAL,secondary server was successfully backed up
"2022-02-14 17:26:31,070",CRITICAL,primary server is down
"2022-02-14 17:26:31,070",CRITICAL,connection to secondary server successful
"2022-02-14 17:26:39,213",CRITICAL,secondary server was successfully backed up
"2022-02-14 17:26:39,587",CRITICAL,primary server is down
"2022-02-14 17:26:39,588",CRITICAL,connection to secondary server successful
"2022-02-14 17:26:42,025",CRITICAL,secondary server was successfully backed up
"2022-02-14 17:26:42,404",CRITICAL,primary server is down
"2022-02-14 17:26:42,404",CRITICAL,connection to secondary server successful
"2022-02-14 17:26:50,057",CRITICAL,secondary server was successfully backed up
"2022-02-14 17:26:50,427",CRITICAL,primary server is down
"2022-02-14 17:26:50,427",CRITICAL,connection to secondary server successful
"2022-02-14 17:26:52,714",CRITICAL,secondary server was successfully backed up
"2022-02-14 17:26:53,080",CRITICAL,primary server is down
"2022-02-14 17:26:53,080",CRITICAL,connection to secondary server successful
"2022-02-14 17:26:59,266",CRITICAL,secondary server was successfully backed up
"2022-02-14 17:26:59,644",CRITICAL,primary server is down
"2022-02-14 17:26:59,644",CRITICAL,connection to secondary server successful
"2022-02-14 17:27:10,046",CRITICAL,secondary server was successfully backed up
"2022-02-14 17:27:10,541",CRITICAL,primary server is down
"2022-02-14 17:27:10,541",CRITICAL,connection to secondary server successful
"2022-02-14 17:27:12,937",CRITICAL,secondary server was successfully backed up
"2022-02-14 17:27:13,344",CRITICAL,primary server is down
"2022-02-14 17:27:13,344",CRITICAL,connection to secondary server successful
"2022-02-14 17:27:29,721",CRITICAL,secondary server was successfully backed up
"2022-02-14 17:27:30,134",CRITICAL,primary server is down
"2022-02-14 17:27:30,134",CRITICAL,connection to secondary server successful
"2022-02-14 17:27:32,504",CRITICAL,secondary server was successfully backed up
"2022-02-14 17:27:32,967",CRITICAL,primary server is down
"2022-02-14 17:27:32,967",CRITICAL,connection to secondary server successful
"2022-02-14 17:28:25,381",CRITICAL,secondary server was successfully backed up
"2022-02-14 17:28:25,763",CRITICAL,primary server is down
"2022-02-14 17:28:25,763",CRITICAL,connection to secondary server successful
"2022-02-14 17:28:29,918",CRITICAL,secondary server was successfully backed up
"2022-02-14 17:28:33,321",CRITICAL,primary server is down
"2022-02-14 17:28:33,321",CRITICAL,connection to secondary server successful
"2022-02-14 17:28:35,621",CRITICAL,secondary server was successfully backed up
"2022-02-14 17:28:39,043",CRITICAL,primary server is down
"2022-02-14 17:28:39,043",CRITICAL,connection to secondary server successful
"2022-02-14 17:41:48,833",CRITICAL,primary server is down
"2022-02-14 17:41:48,834",CRITICAL,connection to secondary server successful
"2022-02-14 17:41:56,571",CRITICAL,secondary server was successfully backed up
"2022-02-14 17:41:56,951",CRITICAL,primary server is down
"2022-02-14 17:41:56,951",CRITICAL,connection to secondary server successful
"2022-02-14 17:42:32,537",CRITICAL,primary server is down
"2022-02-14 17:42:32,537",CRITICAL,connection to secondary server successful



"2022-02-14 18:26:27,181",CRITICAL,primary server is down
"2022-02-14 18:26:27,181",CRITICAL,connection to secondary server successful
"2022-02-14 18:27:33,683",CRITICAL,primary server is down
"2022-02-14 18:27:33,684",CRITICAL,connection to secondary server successful
"2022-02-14 18:27:36,367",CRITICAL,secondary server was successfully backed up
"2022-02-14 18:27:39,761",CRITICAL,primary server is down
"2022-02-14 18:27:39,761",CRITICAL,connection to secondary server successful
"2022-02-14 18:28:07,306",CRITICAL,secondary server was successfully backed up
"2022-02-14 18:28:07,680",CRITICAL,primary server is down
"2022-02-14 18:28:07,681",CRITICAL,connection to secondary server successful
"2022-02-14 18:28:10,204",CRITICAL,secondary server was successfully backed up
"2022-02-14 18:28:13,625",CRITICAL,primary server is down
"2022-02-14 18:28:13,626",CRITICAL,connection to secondary server successful
"2022-02-14 18:28:19,008",CRITICAL,secondary server was successfully backed up
"2022-02-14 18:28:19,402",CRITICAL,primary server is down
"2022-02-14 18:28:19,402",CRITICAL,connection to secondary server successful
"2022-02-14 18:28:21,872",CRITICAL,secondary server was successfully backed up
"2022-02-14 18:28:25,266",CRITICAL,primary server is down
"2022-02-14 18:28:25,266",CRITICAL,connection to secondary server successful
"2022-02-14 18:28:27,722",CRITICAL,secondary server was successfully backed up
"2022-02-14 18:28:28,128",CRITICAL,primary server is down
"2022-02-14 18:28:28,128",CRITICAL,connection to secondary server successful
"2022-02-14 18:29:01,832",CRITICAL,secondary server was successfully backed up
"2022-02-14 18:29:05,235",CRITICAL,primary server is down
"2022-02-14 18:29:05,235",CRITICAL,connection to secondary server successful
"2022-02-14 18:32:54,399",CRITICAL,primary server is down
"2022-02-14 18:32:54,399",CRITICAL,connection to secondary server successful
"2022-02-14 18:33:13,460",CRITICAL,secondary server was successfully backed up
"2022-02-14 18:33:16,832",CRITICAL,primary server is down
"2022-02-14 18:33:16,832",CRITICAL,connection to secondary server successful
"2022-02-14 18:33:19,323",CRITICAL,secondary server was successfully backed up
"2022-02-14 18:33:19,760",CRITICAL,primary server is down
"2022-02-14 18:33:19,760",CRITICAL,connection to secondary server successful
"2022-02-14 18:33:24,813",CRITICAL,secondary server was successfully backed up
"2022-02-14 18:33:28,175",CRITICAL,primary server is down
"2022-02-14 18:33:28,175",CRITICAL,connection to secondary server successful
"2022-02-14 18:33:30,776",CRITICAL,secondary server was successfully backed up
"2022-02-14 18:33:34,174",CRITICAL,primary server is down
"2022-02-14 18:33:34,174",CRITICAL,connection to secondary server successful
"2022-02-14 18:33:47,152",CRITICAL,secondary server was successfully backed up
"2022-02-14 18:33:47,548",CRITICAL,primary server is down
"2022-02-14 18:33:47,548",CRITICAL,connection to secondary server successful
"2022-02-14 18:33:50,015",CRITICAL,secondary server was successfully backed up
"2022-02-14 18:33:53,391",CRITICAL,primary server is down
"2022-02-14 18:33:53,392",CRITICAL,connection to secondary server successful
"2022-02-14 18:34:06,012",CRITICAL,secondary server was successfully backed up
"2022-02-14 18:34:06,380",CRITICAL,primary server is down
"2022-02-14 18:34:06,380",CRITICAL,connection to secondary server successful
"2022-02-14 18:34:08,882",CRITICAL,secondary server was successfully backed up
"2022-02-14 18:34:12,278",CRITICAL,primary server is down
"2022-02-14 18:34:12,278",CRITICAL,connection to secondary server successful
"2022-02-14 18:34:21,595",CRITICAL,secondary server was successfully backed up
"2022-02-14 18:34:24,998",CRITICAL,primary server is down
"2022-02-14 18:34:24,998",CRITICAL,connection to secondary server successful
"2022-02-14 18:34:27,512",CRITICAL,secondary server was successfully backed up
"2022-02-14 18:34:30,887",CRITICAL,primary server is down
"2022-02-14 18:34:30,887",CRITICAL,connection to secondary server successful
"2022-02-14 18:34:33,370",CRITICAL,secondary server was successfully backed up
"2022-02-14 18:34:33,755",CRITICAL,primary server is down
"2022-02-14 18:34:33,755",CRITICAL,connection to secondary server successful
"2022-02-14 18:36:52,749",CRITICAL,primary server is down
"2022-02-14 18:36:52,749",CRITICAL,connection to secondary server successful
"2022-02-14 18:37:13,998",CRITICAL,primary server is down
"2022-02-14 18:37:13,998",CRITICAL,connection to secondary server successful
"2022-02-14 18:37:20,722",CRITICAL,secondary server was successfully backed up
"2022-02-14 18:37:24,098",CRITICAL,primary server is down
"2022-02-14 18:37:24,098",CRITICAL,connection to secondary server successful
"2022-02-14 18:37:26,619",CRITICAL,secondary server was successfully backed up
"2022-02-14 18:37:26,991",CRITICAL,primary server is down
"2022-02-14 18:37:26,991",CRITICAL,connection to secondary server successful
"2022-02-14 18:38:04,500",CRITICAL,primary server is down
"2022-02-14 18:38:04,500",CRITICAL,connection to secondary server successful
"2022-02-14 18:38:07,135",CRITICAL,secondary server was successfully backed up
